Corruption Perceptions Index 2022: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2022,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Afghanistan,AFG,AP,24,150,6.30,4,14,34,,,25,,,10,,,,43,,,16
Albania,ALB,ECA,36,101,1.32,8,34,38,,,41,37,42,35,,,32,27,,42,29
Algeria,DZA,MENA,33,116,1.67,6,30,36,,,37,37,,35,,,24,29,,,36
Angola,AGO,SSA,33,116,2.81,7,28,38,,,33,20,,47,,,32,46,,22,28
Argentina,ARG,AME,38,94,2.33,7,34,42,,,49,37,,35,24,,32,47,,,44
Armenia,ARM,ECA,46,63,2.47,6,42,50,,,45,,44,47,,,32,55,,53,
Australia,AUS,AP,75,13,0.78,9,74,76,,70,,72,,71,73,83,76,77,,77,78
Austria,AUT,WE/EU,71,22,1.53,8,68,74,,79,,72,,59,63,,76,70,,70,74
Azerbaijan,AZE,ECA,23,157,2.40,6,19,27,,,29,20,21,35,,,24,12,,,
Bahamas,BHS,AME,64,30,5.32,3,55,73,,,,,,59,,,76,,,,58
Bahrain,BHR,MENA,44,69,6.19,6,34,54,,,33,37,,35,81,,50,28,,,
Bangladesh,BGD,AP,25,147,1.93,8,22,28,,,25,20,,22,,,41,13,27,33,23
Barbados,BRB,AME,65,29,3.28,4,60,70,,,,,,71,,,,72,,56,61
Belarus,BLR,ECA,39,91,3.14,7,34,44,,,33,37,27,47,,,24,51,,,53
Belgium,BEL,WE/EU,73,18,1.52,8,71,75,,79,,72,,71,76,,76,77,,58,77
Benin,BEN,SSA,43,72,2.42,7,39,47,39,,41,,,35,,,,61,43,47,35
Bhutan,BTN,AP,68,25,2.18,4,64,72,,,69,,,71,,,,70,60,,
Bolivia,BOL,AME,31,126,2.41,6,27,35,,,37,37,,35,,,24,36,,,19
Bosnia and Herzegovina,BIH,ECA,34,110,2.18,7,30,38,,,37,37,44,35,,,,22,,23,37
Botswana,BWA,SSA,60,35,2.63,8,56,64,,,57,72,,71,37,,59,67,,63,53
Brazil,BRA,AME,38,94,1.58,8,35,41,,,53,37,,35,34,,32,43,,34,35
Bulgaria,BGR,WE/EU,43,72,1.06,10,41,45,,44,53,37,53,35,40,,48,45,,39,36
Burkina Faso,BFA,SSA,42,77,1.37,7,40,44,44,,33,,,47,,,41,46,43,,36
Burundi,BDI,SSA,17,171,2.33,5,13,21,14,,13,,,22,,,,25,10,,
Cabo Verde,CPV,SSA,60,35,4.81,4,52,68,,,,,,71,,,,64,60,45,
Cambodia,KHM,AP,24,150,2.78,8,19,29,,,13,20,,35,,39,,14,18,41,12
Cameroon,CMR,SSA,26,142,1.37,9,24,28,34,,29,20,,35,,,24,18,35,25,18
Canada,CAN,AME,74,14,2.12,8,71,77,,79,,90,,71,67,,76,76,,58,78
Central African Republic,CAF,SSA,24,150,0.81,5,23,25,24,,25,,,22,,,,21,27,,
Chad,TCD,SSA,19,167,1.51,6,17,21,24,,21,,,22,,,,10,18,19,
Chile,CHL,AME,67,27,1.34,9,65,69,,62,77,72,,71,57,,59,73,,66,65
China,CHN,AP,45,65,1.81,9,42,48,,,41,37,,47,58,38,32,49,,59,39
Colombia,COL,AME,39,91,1.38,8,37,41,,,45,37,,47,34,,32,48,,37,36
Comoros,COM,SSA,19,167,5.48,4,10,28,4,,,,,35,,,,18,18,,
Congo,COG,SSA,21,164,1.26,7,19,23,,,21,20,,22,,,17,18,18,,31
Costa Rica,CRI,AME,54,48,3.16,7,49,59,,,69,55,,47,,,41,65,,39,61
Cote d'Ivoire,CIV,SSA,37,99,1.97,9,34,40,39,,25,37,,59,,,39,33,43,33,26
Croatia,HRV,WE/EU,50,57,0.93,9,48,52,,44,53,55,50,47,43,,50,57,,,52
Cuba,CUB,AME,45,65,2.87,5,40,50,,,41,55,,35,,,50,46,,,
Cyprus,CYP,WE/EU,52,51,2.46,8,48,56,,35,,55,,47,44,,50,67,,57,64
Czechia,CZE,WE/EU,56,41,1.08,10,54,58,,44,57,55,59,59,59,,50,66,,47,62
Democratic Republic of the Congo,COD,SSA,20,166,0.99,9,18,22,27,,25,20,,22,,,24,12,18,17,12
Denmark,DNK,WE/EU,90,1,1.71,8,87,93,,97,,90,,83,96,,100,79,,84,88
Djibouti,DJI,SSA,30,130,1.74,5,27,33,27,,25,,,35,,,,28,35,,
Dominica,DMA,AME,55,45,1.90,3,52,58,,,,,,59,,,,,52,,55
Dominican Republic,DOM,AME,32,123,1.31,7,30,34,,,29,37,,35,,,24,36,,34,29
Ecuador,ECU,AME,36,101,1.07,7,34,38,,,45,37,,35,,,35,35,,33,35
Egypt,EGY,MENA,30,130,1.78,6,27,33,,,25,37,,35,,,32,23,,,27
El Salvador,SLV,AME,33,116,1.91,7,30,36,,,45,37,,35,,,32,22,,29,33
Equatorial Guinea,GNQ,SSA,17,171,2.55,4,13,21,,,9,20,,22,,,,16,,,
Eritrea,ERI,SSA,22,162,4.78,5,14,30,4,,13,,,35,,,,31,27,,
Estonia,EST,WE/EU,74,14,1.01,10,72,76,,88,77,72,68,71,79,,67,75,,68,76
Eswatini,SWZ,SSA,30,130,5.90,3,20,40,,,17,,,35,,,,38,,,
Ethiopia,ETH,SSA,38,94,1.31,8,36,40,44,,33,37,,47,,,32,43,35,,34
Fiji,FJI,AP,53,49,4.32,3,46,60,,,,,,59,,,,56,43,,
Finland,FIN,WE/EU,87,2,1.19,8,85,89,,88,,90,,83,94,,93,78,,87,86
France,FRA,WE/EU,72,21,0.64,8,71,73,,70,,72,,71,74,,67,75,,75,70
Gabon,GAB,SSA,29,136,2.07,6,26,32,,,29,37,,35,,,32,20,,,24
Gambia,GMB,SSA,34,110,3.76,7,28,40,16,,25,,,47,,,39,57,27,,30
Georgia,GEO,ECA,56,41,3.03,6,51,61,,,45,,50,47,,,,68,,65,58
Germany,DEU,WE/EU,79,9,2.17,8,75,83,,79,,90,,71,87,,85,77,,60,80
Ghana,GHA,SSA,43,72,1.43,9,41,45,49,,41,55,,35,,,50,37,43,43,33
Greece,GRC,WE/EU,52,51,2.14,8,48,56,,62,,37,,59,53,,41,64,,50,54
Grenada,GRD,AME,52,51,3.23,3,47,57,,,,,,47,,,,,52,,59
Guatemala,GTM,AME,24,150,1.13,7,22,26,,,21,20,,22,,,24,24,,33,25
Guinea,GIN,SSA,25,147,1.60,7,22,28,27,,29,,,35,,,24,16,27,,20
Guinea Bissau,GNB,SSA,21,164,2.67,6,17,25,14,,29,,,22,,,32,20,10,,
Guyana,GUY,AME,40,85,2.18,5,36,44,,,,,,35,,,41,49,35,,38
Haiti,HTI,AME,17,171,1.34,6,15,19,,,17,,,22,,,15,16,10,,20
Honduras,HND,AME,23,157,0.50,8,22,24,,,21,20,,22,,,24,21,27,23,24
Hong Kong,HKG,AP,76,12,1.61,8,73,79,,,,90,,71,80,76,67,72,,80,73
Hungary,HUN,WE/EU,42,77,1.46,10,40,44,,26,37,55,42,59,44,,41,43,,39,37
Iceland,ISL,WE/EU,74,14,3.83,7,68,80,,44,,72,,83,88,,76,77,,80,
India,IND,AP,40,85,1.18,9,38,42,,,45,37,,47,47,30,41,40,,39,31
Indonesia,IDN,AP,34,110,1.78,8,31,37,,,33,37,,47,39,29,35,24,,,24
Iran,IRN,MENA,25,147,2.32,7,21,29,,,13,20,,35,,,24,19,,31,36
Iraq,IRQ,MENA,23,157,3.98,5,16,30,,,37,20,,10,,,32,18,,,
Ireland,IRL,WE/EU,77,10,0.79,8,76,78,,79,,72,,71,79,,76,76,,80,79
Israel,ISR,MENA,63,31,2.05,7,60,66,,62,,72,,59,62,,50,71,,67,
Italy,ITA,WE/EU,56,41,1.71,8,53,59,,62,,55,,59,45,,50,69,,52,61
Jamaica,JAM,AME,44,69,3.66,6,38,50,,,37,37,,35,,,41,65,,,51
Japan,JPN,AP,73,18,1.86,9,70,76,,53,,72,,71,75,78,67,75,,88,79
Jordan,JOR,MENA,47,61,2.38,8,43,51,,,33,55,,35,58,,41,43,,60,50
Kazakhstan,KAZ,ECA,36,101,3.29,9,31,41,,,33,20,24,47,56,,67,18,,26,37
Kenya,KEN,SSA,32,123,1.50,9,30,34,32,,33,20,,35,,,41,35,43,29,22
"Korea, North",PRK,AP,17,171,3.78,4,11,23,,,13,,,10,,,15,30,,,
"Korea, South",KOR,AP,63,31,1.03,10,61,65,,70,61,72,,59,57,55,67,67,,57,70
Kosovo,KSV,ECA,41,84,2.58,6,37,45,,,37,,36,35,,,,56,43,,38
Kuwait,KWT,MENA,42,77,1.74,6,39,45,,,45,37,,35,,,41,44,,50,
Kyrgyzstan,KGZ,ECA,27,140,1.32,7,25,29,,,29,,27,22,,,,20,35,27,26
Laos,LAO,AP,31,126,3.70,5,25,37,,,21,,,35,,,,26,27,47,
Latvia,LVA,WE/EU,59,39,1.36,10,57,61,,70,61,55,62,59,59,,41,69,,52,64
Lebanon,LBN,MENA,24,150,0.82,7,23,25,,,21,20,,22,,,27,24,,23,28
Lesotho,LSO,SSA,37,99,3.87,6,31,43,24,,37,,,59,,,,42,35,27,
Liberia,LBR,SSA,26,142,1.72,7,23,29,34,,29,,,22,,,32,18,27,,19
Libya,LBY,MENA,17,171,1.59,5,14,20,,,21,20,,10,,,15,19,,,
Lithuania,LTU,WE/EU,62,33,1.14,10,60,64,,62,73,55,62,59,62,,50,70,,57,69
Luxembourg,LUX,WE/EU,77,10,1.08,8,75,79,,79,,72,,71,72,,85,77,,78,80
Madagascar,MDG,SSA,26,142,1.67,7,23,29,24,,33,,,35,,,24,19,27,,19
Malawi,MWI,SSA,34,110,1.71,9,31,37,37,,37,20,,47,,,44,32,35,22,35
Malaysia,MYS,AP,47,61,1.37,9,45,49,,,49,55,,59,40,37,41,49,,47,45
Maldives,MDV,AP,40,85,4.83,3,32,48,,,,,,35,,,,51,35,,
Mali,MLI,SSA,28,137,1.63,8,25,31,37,,33,,,35,,,32,22,27,21,18
Malta,MLT,WE/EU,51,54,2.52,7,47,55,,53,,55,,47,,,41,64,,38,59
Mauritania,MRT,SSA,30,130,1.68,6,27,33,27,,33,,,35,,,,22,35,,27
Mauritius,MUS,SSA,50,57,1.78,6,47,53,,,49,55,,59,,,,43,,47,50
Mexico,MEX,AME,31,126,1.62,9,28,34,,44,29,37,,22,27,,24,43,,32,22
Moldova,MDA,ECA,39,91,1.65,8,36,42,,,33,37,36,47,,,39,53,,32,36
Mongolia,MNG,AP,33,116,0.82,8,32,34,,,37,37,,35,30,,32,28,,30,35
Montenegro,MNE,ECA,45,65,1.93,5,42,48,,,53,,44,47,,,,45,,38,
Morocco,MAR,MENA,38,94,1.80,7,35,41,,,29,37,,35,,,50,37,,43,36
Mozambique,MOZ,SSA,26,142,1.89,8,23,29,14,,25,20,,35,,,32,37,18,,24
Myanmar,MMR,AP,23,157,1.90,7,20,26,,,25,20,,22,,,24,34,10,,24
Namibia,NAM,SSA,49,59,2.48,7,45,53,,,33,55,,59,,,50,58,,43,45
Nepal,NPL,AP,34,110,0.93,6,32,36,,,33,,,35,,,,30,35,38,30
Netherlands,NLD,WE/EU,80,8,2.01,8,77,83,,62,,90,,83,86,,85,77,,74,82
New Zealand,NZL,AP,87,2,1.41,8,85,89,,97,,90,,83,87,,93,78,,85,82
Nicaragua,NIC,AME,19,167,1.04,8,17,21,,,17,20,,22,,,15,13,27,22,17
Niger,NER,SSA,32,123,1.50,7,30,34,37,,25,,,35,,,24,37,35,,29
Nigeria,NGA,SSA,24,150,1.60,8,21,27,,,33,20,,22,,,24,13,35,25,22
North Macedonia,MKD,ECA,40,85,1.95,7,37,43,,,45,37,47,47,,,,27,,36,40
Norway,NOR,WE/EU,84,4,1.17,7,82,86,,88,,90,,83,79,,85,78,,,86
Oman,OMN,MENA,44,69,4.95,5,36,52,,,25,37,,47,,,50,61,,,
Pakistan,PAK,AP,27,140,1.92,7,24,30,,,21,20,,35,,,32,19,35,,26
Panama,PAN,AME,36,101,1.08,7,34,38,,,33,37,,35,,,32,44,,34,35
Papua New Guinea,PNG,AP,30,130,2.34,6,26,34,,,33,20,,35,,,41,26,27,,
Paraguay,PRY,AME,28,137,1.70,7,25,31,,,33,37,,22,,,32,24,,20,29
Peru,PER,AME,36,101,1.43,8,34,38,,,49,37,,35,29,,40,37,,32,31
Philippines,PHL,AP,33,116,0.93,9,31,35,,,33,37,,35,30,37,41,28,,34,26
Poland,POL,WE/EU,55,45,1.37,10,53,57,,44,57,55,56,59,52,,41,69,,50,64
Portugal,PRT,WE/EU,62,33,1.63,8,59,65,,70,,55,,59,54,,67,68,,54,67
Qatar,QAT,MENA,58,40,5.08,6,50,66,,,41,72,,47,83,,59,49,,,
Romania,ROU,WE/EU,46,63,1.01,10,44,48,,44,53,37,56,47,40,,41,54,,44,48
Russia,RUS,ECA,28,137,1.73,8,25,31,,,25,20,24,35,,,24,26,,43,32
Rwanda,RWA,SSA,51,54,2.79,6,46,56,49,,37,,,59,,,,56,43,,58
Saint Lucia,LCA,AME,55,45,3.70,3,49,61,,,,,,47,,,,,60,,57
Saint Vincent and the Grenadines,VCT,AME,60,35,4.51,3,53,67,,,,,,59,,,,,52,,69
Sao Tome and Principe,STP,SSA,45,65,4.82,4,37,53,32,,,,,47,,,,59,43,,
Saudi Arabia,SAU,MENA,51,54,4.64,6,43,59,,,33,55,,35,72,,59,52,,,
Senegal,SEN,SSA,43,72,1.40,9,41,45,42,,37,55,,47,,,34,50,43,33,45
Serbia,SRB,ECA,36,101,1.33,8,34,38,,,37,37,47,35,,,32,29,,41,32
Seychelles,SYC,SSA,70,23,1.78,3,67,73,,,,72,,71,,,,66,,,
Sierra Leone,SLE,SSA,34,110,1.73,9,31,37,34,,37,20,,47,,,44,40,35,26,26
Singapore,SGP,AP,83,5,1.30,8,81,85,,,73,90,,83,82,90,85,78,,,83
Slovakia,SVK,WE/EU,53,49,1.72,10,50,56,,53,61,55,56,71,46,,41,63,,35,46
Slovenia,SVN,WE/EU,56,41,0.96,10,54,58,,53,61,55,68,59,48,,53,48,,54,58
Solomon Islands,SLB,AP,42,77,7.67,3,29,55,,,,,,59,,,,33,35,,
Somalia,SOM,SSA,12,180,1.74,6,9,15,11,,9,,,22,,,6,12,10,,
South Africa,ZAF,SSA,43,72,2.01,8,40,46,,,49,55,,47,33,,40,49,,29,42
South Sudan,SSD,SSA,13,178,1.90,5,10,16,11,,13,,,10,,,,22,10,,
Spain,ESP,WE/EU,60,35,2.41,8,56,64,,70,,55,,47,55,,59,76,,51,71
Sri Lanka,LKA,AP,36,101,0.80,7,35,37,,,37,37,,35,,,32,35,,41,33
Sudan,SDN,SSA,22,162,3.47,8,16,28,14,,17,20,,22,,,6,55,10,,28
Suriname,SUR,AME,40,85,5.38,4,31,49,,,,,,35,,,32,59,,,35
Sweden,SWE,WE/EU,83,5,2.20,8,79,87,,88,,90,,83,85,,93,78,,62,86
Switzerland,CHE,WE/EU,82,7,1.85,7,79,85,,88,,90,,71,86,,85,77,,77,
Syria,SYR,MENA,13,178,1.57,5,10,16,,,9,20,,10,,,15,13,,,
Taiwan,TWN,AP,68,25,1.66,8,65,71,,,77,72,,71,70,58,59,62,,74,
Tajikistan,TJK,ECA,24,150,3.13,6,19,29,,,17,,21,22,,,,19,18,44,
Tanzania,TZA,SSA,38,94,0.99,9,36,40,39,,37,37,,35,,,32,49,35,43,33
Thailand,THA,AP,36,101,1.09,9,34,38,,,37,37,,35,43,35,32,26,,45,34
Timor-Leste,TLS,AP,42,77,5.03,4,34,50,,,41,,,35,,,,59,35,,
Togo,TGO,SSA,30,130,1.70,7,27,33,27,,25,,,35,,,32,20,35,,36
Trinidad and Tobago,TTO,AME,42,77,3.86,7,36,48,,,41,37,,35,,,32,73,,32,44
Tunisia,TUN,MENA,40,85,1.12,7,38,42,,,37,37,,47,,,41,42,,40,34
Turkey,TUR,ECA,36,101,1.51,9,34,38,,26,37,37,,47,46,,32,25,,43,35
Turkmenistan,TKM,ECA,19,167,1.07,5,17,21,,,17,20,21,22,,,,15,,,
Uganda,UGA,SSA,26,142,1.49,8,24,28,24,,33,37,,22,,,24,20,27,,18
Ukraine,UKR,ECA,33,116,1.44,8,31,35,,,37,20,36,35,,,41,30,,35,33
United Arab Emirates,ARE,MENA,67,27,3.10,7,62,72,,,57,72,,47,82,,67,71,,,72
United Kingdom,GBR,WE/EU,73,18,1.85,8,70,76,,70,,72,,71,57,,84,75,,72,80
United States of America,USA,AME,69,24,2.11,9,66,72,,70,,90,,71,61,49,67,72,,64,72
Uruguay,URY,AME,74,14,0.66,7,73,75,,,77,72,,71,,,76,75,,77,72
Uzbekistan,UZB,ECA,31,126,1.71,8,28,34,,,29,20,24,35,,,41,25,35,,37
Vanuatu,VUT,AP,48,60,2.72,3,44,52,,,,,,47,,,,54,43,,
Venezuela,VEN,AME,14,177,1.30,8,12,16,,,9,20,,10,24,,15,9,,13,9
Vietnam,VNM,AP,42,77,1.50,8,40,44,,,37,37,,47,,39,41,44,,55,36
Yemen,YEM,MENA,16,176,1.98,7,13,19,,,13,20,,10,,,15,11,10,30,
Zambia,ZMB,SSA,33,116,1.50,9,31,35,34,,21,37,,35,,,32,49,27,30,36
Zimbabwe,ZWE,SSA,23,157,1.53,8,20,26,19,,21,37,,22,,,15,20,27,,23
